File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF000YNJ	bam	bam		alignments	hg19	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		1	1_1		32					/files/ENCFF000YNY/	704562530	Peggy Farnham, USC	83006e3d8d4e38f9e8a92afd099f557c		https://www.encodeproject.org/files/ENCFF000YNJ/@@download/ENCFF000YNJ.bam				archived	s3://encode-public/2010/12/06/54275f09-1c40-4fa9-8dde-c6bf57eed880/ENCFF000YNJ.bam	https://datasetencode.blob.core.windows.net/dataset/2010/12/06/54275f09-1c40-4fa9-8dde-c6bf57eed880/ENCFF000YNJ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D				insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF000YNK	bam	bam		alignments	hg19	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		2	2_1		32					/files/ENCFF000YNZ/	753698993	Peggy Farnham, USC	195bdcb676a383f272e8760c9588ecf8		https://www.encodeproject.org/files/ENCFF000YNK/@@download/ENCFF000YNK.bam				archived	s3://encode-public/2010/12/06/e5395a7a-88a2-4e86-84a8-5d3c44804d06/ENCFF000YNK.bam	https://datasetencode.blob.core.windows.net/dataset/2010/12/06/e5395a7a-88a2-4e86-84a8-5d3c44804d06/ENCFF000YNK.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D				insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF000YNY	fastq	fastq		reads		ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		1	1_1	32		single-ended					541825410	Peggy Farnham, USC	0466385322288dd0f1e663828188c369		https://www.encodeproject.org/files/ENCFF000YNY/@@download/ENCFF000YNY.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VEK/	released	s3://encode-public/2010/12/06/6d9a3d41-d8cc-4cfe-a8ea-3cd46505140b/ENCFF000YNY.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2010/12/06/6d9a3d41-d8cc-4cfe-a8ea-3cd46505140b/ENCFF000YNY.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			inconsistent control read length	insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF000YNZ	fastq	fastq		reads		ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		2	2_1	32		single-ended					576686589	Peggy Farnham, USC	3fe2825e6560a35e00c6552072d864af		https://www.encodeproject.org/files/ENCFF000YNZ/@@download/ENCFF000YNZ.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VEK/	released	s3://encode-public/2010/12/06/3a63efcc-6e9f-4d54-ada2-7dab00b0ccf7/ENCFF000YNZ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2010/12/06/3a63efcc-6e9f-4d54-ada2-7dab00b0ccf7/ENCFF000YNZ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			inconsistent control read length	insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF001VNE	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR000EWG	TF ChIP-seq		EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document											124606	Peggy Farnham, USC	d7f7e77f95b44fbe690dfb976de51a5a		https://www.encodeproject.org/files/ENCFF001VNE/@@download/ENCFF001VNE.bed.gz				archived	s3://encode-public/2010/12/06/54578c39-3404-46ef-9c25-acaed5ee4185/ENCFF001VNE.narrowPeak.gz	https://datasetencode.blob.core.windows.net/dataset/2010/12/06/54578c39-3404-46ef-9c25-acaed5ee4185/ENCFF001VNE.narrowPeak.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D				insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF002CWQ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EWG	TF ChIP-seq		EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document											209407	ENCODE Consortium Analysis Working Group	36c61da27aae1632856794e5867b58b3		https://www.encodeproject.org/files/ENCFF002CWQ/@@download/ENCFF002CWQ.bed.gz				archived	s3://encode-public/2014/06/06/129516a1-f054-4737-bf63-004ac40f6aa4/ENCFF002CWQ.narrowPeak.gz	https://datasetencode.blob.core.windows.net/dataset/2014/06/06/129516a1-f054-4737-bf63-004ac40f6aa4/ENCFF002CWQ.narrowPeak.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D				insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF252WPQ	bam	bam		unfiltered alignments	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		1	1_1		32					/files/ENCFF000YNY/, /files/ENCFF643CGH/	707160552	ENCODE Processing Pipeline	61699d434e9a142c78934b9fd7049f5a		https://www.encodeproject.org/files/ENCFF252WPQ/@@download/ENCFF252WPQ.bam				released	s3://encode-public/2017/02/08/109a59a4-07e0-45cd-b75d-60b77ac91ae3/ENCFF252WPQ.bam	https://datasetencode.blob.core.windows.net/dataset/2017/02/08/109a59a4-07e0-45cd-b75d-60b77ac91ae3/ENCFF252WPQ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF829VOR	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		2	2_1							/files/ENCFF340JWK/, /files/ENCFF355SGP/	2807656	ENCODE Processing Pipeline	034d781a3942a300075bd95cfb274084		https://www.encodeproject.org/files/ENCFF829VOR/@@download/ENCFF829VOR.bed.gz				released	s3://encode-public/2017/02/08/1e85c70c-bbef-44ed-bc8b-cc9399ec37a9/ENCFF829VOR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/02/08/1e85c70c-bbef-44ed-bc8b-cc9399ec37a9/ENCFF829VOR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF224NNV	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF779CRV/, /files/ENCFF340JWK/, /files/ENCFF355SGP/	5002808	ENCODE Processing Pipeline	8f066b0e916b306aa90dc8a591f6b6a1		https://www.encodeproject.org/files/ENCFF224NNV/@@download/ENCFF224NNV.bed.gz				released	s3://encode-public/2017/02/08/afab0592-a536-4cdf-894f-0403649bfcb4/ENCFF224NNV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/02/08/afab0592-a536-4cdf-894f-0403649bfcb4/ENCFF224NNV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF340JWK	bam	bam		alignments	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										GATA2-human	DNA						2011-10-29	ENCODE		see document		2	2_1		32					/files/ENCFF000YNZ/, /files/ENCFF643CGH/	359755177	ENCODE Processing Pipeline	73d6aa313a2989308ff4864895fcfee5		https://www.encodeproject.org/files/ENCFF340JWK/@@download/ENCFF340JWK.bam				released	s3://encode-public/2017/02/08/a5da952b-1add-4b33-8c88-803478f5583e/ENCFF340JWK.bam	https://datasetencode.blob.core.windows.net/dataset/2017/02/08/a5da952b-1add-4b33-8c88-803478f5583e/ENCFF340JWK.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived		insufficient read depth, insufficient read length, insufficient replicate concordance	
