biosample	database	assay	experiment_accession	lab_or_source	narrow_peaks_accession	bam_file_accessions
K562	ENCODE	DNase-seq	ENCSR000EOT	Stamatoyannopoulos	--	ENCFF205FNC,ENCFF860XAE
K562	ENCODE	H3K27ac ChIP-seq	ENCSR000AKP	Bernstein	ENCFF544LXB	ENCFF790GFL,ENCFF817HMW
K562	ENCODE	CTCF ChIP-seq	ENCSR000AKO	Bernstein	ENCFF519CXF	ENCFF216XRV,ENCFF678LBZ
K562	ENCODE	H3K27me3 ChIP-seq	ENCSR000AKQ	Bernstein	ENCFF323WOT	ENCFF549RYG,ENCFF483EPA,ENCFF351YGP
WTC11	ENCODE	DNase-seq	ENCSR785ZUI	Stamatoyannopoulos	--	ENCFF492WXQ,ENCFF715YXX
WTC11	ENCODE	H3K27ac Mint-ChIP-seq	ENCSR146DPQ	Bernstein	ENCFF655PNM	ENCFF738QRT,ENCFF696GDY
WTC11	ENCODE	CTCF ChIP-seq	ENCSR992XTY	Bernstein	ENCFF112GJQ	ENCFF318ICU,ENCFF324TCJ
WTC11	ENCODE	H3K27me3 Mint-ChIP-seq	ENCSR418YEV	Bernstein	ENCFF801DJK	ENCFF871HOU,ENCFF962OVD
HCT116	ENCODE	DNase-seq	ENCSR000ENM	Stamatoyannopoulos	--	ENCFF166PCV,ENCFF619LVU
HCT116	ENCODE	H3K27ac ChIP-seq	ENCSR661KMA	Bernstein	ENCFF899XEF	ENCFF943GHK,ENCFF977FPK
HCT116	ENCODE	CTCF ChIP-seq	ENCSR240PRQ	Bernstein	ENCFF803RIY	ENCFF844RTD,ENCFF603FXX
HCT116	ENCODE	H3K27me3 ChIP-seq	ENCSR810BDB	Bernstein	ENCFF294LZM	ENCFF271HVJ,ENCFF824RFB
GM12878	ENCODE	DNase-seq	ENCSR000EMT	Stamatoyannopoulos	--	ENCFF467CXY,ENCFF940NSD
GM12878	ENCODE	H3K27ac ChIP-seq	ENCSR000AKC	Bernstein	ENCFF023LTU	ENCFF645BAL,ENCFF865OOP
GM12878	ENCODE	CTCF ChIP-seq	ENCSR000AKB	Bernstein	ENCFF797SDL	ENCFF067RMO,ENCFF551LHV
GM12878	ENCODE	H3K27me3 ChIP-seq	ENCSR000DRX	Stamatoyannopoulos	ENCFF695ETB	ENCFF867JWR,ENCFF539NLB
Jurkat	ENCODE	DNase-seq	ENCSR000EOS	Stamatoyannopoulos	--	ENCFF623AMI,ENCFF443NX
Jurkat	SRA	H3K27ac ChIP-seq	SRR12368298,SRR12368299,SRR12368300,SRR12368301	Engreitz	--	--
Jurkat	SRA	CTCF ChIP-seq	SRR8939164,SRR8939165,SRR8939166,SRR8939167	https://doi.org/10.1186/s13059-020-02152-7	--	--
Jurkat	SRA	H3K27me3 ChIP-seq	SRR4031399	https://doi.org/10.1038/srep43345	--	--
