File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Experiment target	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF000YNY	fastq	fastq		reads		ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	GATA2-human	1	1_1	32		single-ended					541825410	Peggy Farnham, USC	https://www.encodeproject.org/files/ENCFF000YNY/@@download/ENCFF000YNY.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VEK/	released	s3://encode-public/2010/12/06/6d9a3d41-d8cc-4cfe-a8ea-3cd46505140b/ENCFF000YNY.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2010/12/06/6d9a3d41-d8cc-4cfe-a8ea-3cd46505140b/ENCFF000YNY.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			inconsistent control read length	insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF000YNZ	fastq	fastq		reads		ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	GATA2-human	2	2_1	32		single-ended					576686589	Peggy Farnham, USC	https://www.encodeproject.org/files/ENCFF000YNZ/@@download/ENCFF000YNZ.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VEK/	released	s3://encode-public/2010/12/06/3a63efcc-6e9f-4d54-ada2-7dab00b0ccf7/ENCFF000YNZ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2010/12/06/3a63efcc-6e9f-4d54-ada2-7dab00b0ccf7/ENCFF000YNZ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			inconsistent control read length	insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF231POZ	bam	bam		alignments	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	GATA2-human	2	2_1		28					/files/ENCFF110MCL/, /files/ENCFF000YNZ/	358805845	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF231POZ/@@download/ENCFF231POZ.bam				released	s3://encode-public/2020/12/10/e1fc846d-a4df-4593-89bf-dadfd63e209f/ENCFF231POZ.bam	https://datasetencode.blob.core.windows.net/dataset/2020/12/10/e1fc846d-a4df-4593-89bf-dadfd63e209f/ENCFF231POZ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF325NYZ	bam	bam		alignments	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	GATA2-human	1	1_1		28					/files/ENCFF000YNY/, /files/ENCFF110MCL/	344724462	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF325NYZ/@@download/ENCFF325NYZ.bam				released	s3://encode-public/2020/12/10/a24f026b-d58f-4594-bc24-95a8566f6589/ENCFF325NYZ.bam	https://datasetencode.blob.core.windows.net/dataset/2020/12/10/a24f026b-d58f-4594-bc24-95a8566f6589/ENCFF325NYZ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF084LQC	bam	bam		unfiltered alignments	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	GATA2-human	1	1_1		28					/files/ENCFF000YNY/, /files/ENCFF110MCL/	630971909	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF084LQC/@@download/ENCFF084LQC.bam				released	s3://encode-public/2020/12/10/80e3e10c-a47a-44ad-a137-51c15cc505fe/ENCFF084LQC.bam	https://datasetencode.blob.core.windows.net/dataset/2020/12/10/80e3e10c-a47a-44ad-a137-51c15cc505fe/ENCFF084LQC.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF270HSY	bam	bam		unfiltered alignments	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	GATA2-human	2	2_1		28					/files/ENCFF110MCL/, /files/ENCFF000YNZ/	673847262	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF270HSY/@@download/ENCFF270HSY.bam				released	s3://encode-public/2020/12/10/c2da5352-7516-4907-bd41-3e0f950fe486/ENCFF270HSY.bam	https://datasetencode.blob.core.windows.net/dataset/2020/12/10/c2da5352-7516-4907-bd41-3e0f950fe486/ENCFF270HSY.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF506PTE	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	GATA2-human	1	1_1							/files/ENCFF355LXQ/, /files/ENCFF325NYZ/, /files/ENCFF356LFX/	144759	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF506PTE/@@download/ENCFF506PTE.bed.gz				released	s3://encode-public/2020/12/10/fa314b8a-6b8b-4101-8d43-3376220309f5/ENCFF506PTE.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/10/fa314b8a-6b8b-4101-8d43-3376220309f5/ENCFF506PTE.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF687XHJ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	GATA2-human	2	2_1							/files/ENCFF355LXQ/, /files/ENCFF356LFX/, /files/ENCFF231POZ/	20264	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF687XHJ/@@download/ENCFF687XHJ.bed.gz				released	s3://encode-public/2020/12/10/c88e575b-e26c-4d0c-b4c8-4ce0cd85661f/ENCFF687XHJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/10/c88e575b-e26c-4d0c-b4c8-4ce0cd85661f/ENCFF687XHJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF497ISV	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	GATA2-human	1, 2	1_1, 2_1							/files/ENCFF355LXQ/, /files/ENCFF325NYZ/, /files/ENCFF356LFX/, /files/ENCFF231POZ/	182061	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF497ISV/@@download/ENCFF497ISV.bed.gz				released	s3://encode-public/2020/12/10/b476f9e1-b3e0-4fff-8f34-78665a87add9/ENCFF497ISV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/10/b476f9e1-b3e0-4fff-8f34-78665a87add9/ENCFF497ISV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF754CQX	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	GATA2-human	1, 2	1_1, 2_1							/files/ENCFF355LXQ/, /files/ENCFF325NYZ/, /files/ENCFF356LFX/, /files/ENCFF231POZ/	74436	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF754CQX/@@download/ENCFF754CQX.bed.gz				released	s3://encode-public/2020/12/10/06649864-29fb-4a97-82ff-e85252248fef/ENCFF754CQX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/10/06649864-29fb-4a97-82ff-e85252248fef/ENCFF754CQX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released		insufficient read depth, insufficient read length, insufficient replicate concordance	
ENCFF000BYO	fastq	fastq		reads		ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	1	1_1	36		single-ended					1180569110	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BYO/@@download/ENCFF000BYO.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000BWK/	released	s3://encode-public/2010/11/16/ed019870-08bb-4441-8811-01e834e316c2/ENCFF000BYO.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2010/11/16/ed019870-08bb-4441-8811-01e834e316c2/ENCFF000BYO.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			inconsistent platforms, low read length	insufficient read depth, control insufficient read depth	
ENCFF000BYS	fastq	fastq		reads		ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	2	2_1	36		single-ended					781388810	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BYS/@@download/ENCFF000BYS.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000BWK/	released	s3://encode-public/2010/11/16/08a48dd7-b892-4092-832e-a90e35a73ef6/ENCFF000BYS.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2010/11/16/08a48dd7-b892-4092-832e-a90e35a73ef6/ENCFF000BYS.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			inconsistent platforms, low read length	insufficient read depth, control insufficient read depth	
ENCFF918ICB	bam	bam		unfiltered alignments	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	2	2_1		36					/files/ENCFF000BYS/, /files/ENCFF110MCL/	953489746	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF918ICB/@@download/ENCFF918ICB.bam				released	s3://encode-public/2020/11/01/831513b2-fda2-49cd-8e8a-07f847ab0957/ENCFF918ICB.bam	https://datasetencode.blob.core.windows.net/dataset/2020/11/01/831513b2-fda2-49cd-8e8a-07f847ab0957/ENCFF918ICB.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.0 GRCh38	archived	inconsistent platforms, low read length	insufficient read depth, control insufficient read depth	
ENCFF863HNL	bam	bam		alignments	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	2	2_1		36					/files/ENCFF000BYS/, /files/ENCFF110MCL/	606453902	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF863HNL/@@download/ENCFF863HNL.bam				released	s3://encode-public/2020/11/01/e6ebc199-c2c3-465b-ac8a-bb09622f506a/ENCFF863HNL.bam	https://datasetencode.blob.core.windows.net/dataset/2020/11/01/e6ebc199-c2c3-465b-ac8a-bb09622f506a/ENCFF863HNL.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.0 GRCh38	archived	inconsistent platforms, matching md5 sums, low read length	insufficient read depth, control insufficient read depth	
ENCFF055FAG	bam	bam		unfiltered alignments	GRCh38	ENCSR000APD	Histone ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	H3K79me2-human	1	1_1		36					/files/ENCFF110MCL/, /files/ENCFF000BYO/	1454228672	ENCODE Processing Pipeline	https://www.encodeproject.org/files/ENCFF055FAG/@@download/ENCFF055FAG.bam				released	s3://encode-public/2020/11/01/51c4bf6f-e042-4331-86bd-67fd54840bdf/ENCFF055FAG.bam	https://datasetencode.blob.core.windows.net/dataset/2020/11/01/51c4bf6f-e042-4331-86bd-67fd54840bdf/ENCFF055FAG.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.0 GRCh38	archived	inconsistent platforms, low read length	insufficient read depth, control insufficient read depth	
